time (ms),channelA(1),channelB(1),channelA(2),channelB(2),channelA(3),channelB(3)
0,0.1,0,0.1,7,0.1,8.4
0.1,0.7,0,0.7,6.9,0.7,8.4
0.2,1.3,0.4,1.3,6.9,1.3,8.4
0.3,1.9,0.9,2,6.8,2,8.4
0.4,2.6,1.5,2.6,6.8,2.6,8.4
0.5,3.2,2.1,3.2,6.7,3.2,8.4
0.6,3.8,2.6,3.8,6.6,3.8,8.4
0.7,4.3,3.2,4.3,6.6,4.3,8.4
0.8,4.9,3.7,4.9,6.5,4.9,8.3
0.9,5.4,4.3,5.4,6.4,5.4,8.3
1,5.9,4.8,5.9,6.4,5.9,8.3
1.1,6.4,5.3,6.4,6.3,6.4,8.3
1.2,6.9,5.7,6.9,6.3,6.9,8.3
1.3,7.3,6.1,7.3,6.2,7.3,8.3
1.4,7.7,6.6,7.7,6.4,7.7,8.3
1.5,8.1,6.9,8.1,6.7,8.1,8.3
1.6,8.5,7.3,8.5,7.1,8.5,8.3
1.7,8.8,7.6,8.8,7.4,8.8,8.3
1.8,9.1,7.9,9.1,7.7,9.1,8.3
1.9,9.3,8.1,9.3,8,9.3,8.3
2,9.5,8.3,9.5,8.2,9.5,8.3
2.1,9.7,8.5,9.7,8.4,9.7,8.3
2.2,9.8,8.6,9.8,8.5,9.8,8.4
2.3,9.9,8.7,9.9,8.6,9.9,8.4
2.4,10,8.7,10,8.7,10,8.5
2.5,10,8.8,10,8.7,10,8.6
2.6,10,8.7,10,8.7,10,8.6
2.7,9.9,8.7,9.9,8.7,9.9,8.6
2.8,9.8,8.6,9.8,8.7,9.8,8.6
2.9,9.7,8.4,9.7,8.6,9.7,8.6
3,9.5,8.3,9.5,8.5,9.5,8.6
3.1,9.3,8,9.3,8.4,9.3,8.6
3.2,9,7.8,9,8.3,9,8.6
3.3,8.7,7.5,8.7,8.3,8.7,8.6
3.4,8.4,7.2,8.4,8.2,8.4,8.6
3.5,8,6.8,8,8.1,8,8.6
3.6,7.6,6.5,7.6,8,7.6,8.5
3.7,7.2,6,7.2,7.9,7.2,8.5
3.8,6.8,5.6,6.8,7.9,6.8,8.5
3.9,6.3,5.1,6.3,7.8,6.3,8.5
4,5.8,4.7,5.8,7.7,5.8,8.5
4.1,5.3,4.1,5.3,7.6,5.3,8.5
4.2,4.7,3.6,4.7,7.6,4.7,8.5
4.3,4.2,3.1,4.2,7.5,4.2,8.5
4.4,3.6,2.5,3.6,7.4,3.6,8.5
4.5,3,1.9,3,7.3,3,8.5
4.6,2.4,1.4,2.4,7.3,2.4,8.5
4.7,1.8,0.8,1.8,7.2,1.8,8.4
4.8,1.2,0.3,1.2,7.1,1.2,8.4
4.9,0.5,0,0.5,7.1,0.5,8.4
5,-0.1,0,-0.1,7,-0.1,8.4
5.1,-0.7,0,-0.7,6.9,-0.7,8.4
5.2,-1.3,0.4,-1.3,6.9,-1.3,8.4
5.3,-2,1,-2,6.8,-2,8.4
5.4,-2.6,1.5,-2.6,6.8,-2.6,8.4
5.5,-3.2,2.1,-3.2,6.7,-3.2,8.4
5.6,-3.8,2.7,-3.8,6.6,-3.8,8.4
5.7,-4.3,3.2,-4.3,6.6,-4.3,8.4
5.8,-4.9,3.7,-4.9,6.5,-4.9,8.3
5.9,-5.4,4.3,-5.4,6.5,-5.4,8.3
6,-5.9,4.8,-5.9,6.4,-5.9,8.3
6.1,-6.4,5.3,-6.4,6.3,-6.4,8.3
6.2,-6.9,5.7,-6.9,6.3,-6.9,8.3
6.3,-7.3,6.1,-7.3,6.2,-7.3,8.3
6.4,-7.8,6.6,-7.8,6.4,-7.8,8.3
6.5,-8.1,6.9,-8.1,6.7,-8.1,8.3
6.6,-8.5,7.3,-8.5,7.1,-8.5,8.3
6.7,-8.8,7.6,-8.8,7.4,-8.8,8.3
